player, r1, r2, r3, r4
Kern, 17.823, 86.492, 0.17000000000001592, 17.659999999999997
Azzi, 36.668, 9.167000000000002, 7.329999999999984, 12.0
Kern, 50.329999999999984, 20.039999999999992, 0.3299999999999841, 19.160000000000025
Azzi, 3.6200000000000045, 5.170000000000016, 0.17000000000001592, 25.839999999999975
Die||Die, 4.831000000000003, 3.000000000000007, 0.16499999999999204, 18.333
Kern, 38.247, 19.166999999999994, 0.1670000000000016, 5.001000000000005
Die||Die, 65.322, 11.700000000000017, 2.6699999999999875, 10.0
Kern, 15.799999999999983, 19.5, 0.1599999999999966, 3.5
Tussi, 2.125, 5.289999999999992, 7.3300000000000125, 8.169999999999987
Alemanha, 75.37, 55.995000000000005, 14.629999999999995, 9.5
Tussi, 39.66, 14.669999999999987
Alemanha, 5.060000000000002, 0.0
Tussi, 1.3799999999999955, 3.6299999999999955, 3.089999999999975, 14.879999999999995
Alemanha, 35.0, 80.67000000000002, 0.12000000000000455, 12.120000000000005
Arthur, 1.3999999999999986, 29.520000000000003, 0.11700000000000443, 1.9839999999999947
Alex, 27.474, 7.226000000000003, 0.117999999999995, 3.6159999999999997
Fabiano, 10.85, 9.165000000000001
Jana, 2.1769999999999996, 0.0
Fabiano, 13.921999999999997, 13.666000000000004, 0.16400000000000148, 5.0190000000000055
Jana, 15.908000000000001, 6.334000000000003, 10.666999999999987, 4.147000000000006
Fabiano, 17.010000000000005, 14.329999999999998, 8.0, 3.0
Jana, 2.6700000000000017, 8.999999999999986, 0.3400000000000034, 5.659999999999997
Mariane, 6.134, 5.200000000000003, 0.1700000000000017, 14.099999999999994
hicky, 87.234, 21.992000000000004, 0.269999999999996, 62.49000000000001
Mariane, 42.89999999999998, 45.889999999999986, 0.14999999999997726, 23.850000000000023
hicky, 9.75, 7.9500000000000455, 0.14999999999997726, 49.05000000000001
Inês, 3.7089999999999996, 4.160000000000011, 0.21000000000000796, 6.75
Heitor, 24.622, 96.15899999999999, 0.1699999999999875, 9.620000000000005
Heitor, 7.579999999999984, 19.20999999999998, 0.20000000000004547, 80.69999999999999
Inês, 61.21000000000001, 55.620000000000005, 6.6299999999999955, 4.4599999999999795
