player, r1, r2, r3, r4
Kern, 39.714, 5.823999999999998, 0.16100000000000136, 36.167
Die||Die, 42.331, 1.5, 0.17300000000000182, 46.329999999999984
Kern, 34.66999999999996, 3.669999999999959, 0.17000000000001592, 74.83000000000004
Die||Die, 130.49, 11.32000000000005, 3.0, 21.329999999999984
Kern, 145.83000000000004, 6.0, 4.829999999999927, 22.839999999999918
Die||Die, 51.15999999999997, 24.33000000000004, 0.17000000000007276, 50.16000000000008
Tussi, 25.749, 22.328000000000003
Alemanha, 23.998, 0.0
Tussi, 38.16999999999999, 3.5
Alemanha, 42.825, 26.49000000000001, 0.0
Tussi, 70.66999999999999, 2.660000000000025, 0.16999999999995907, 73.12
Alemanha, 26.159999999999997, 61.49000000000001, 0.160000000000025, 17.329999999999984
Alex, 26.012, 7.823999999999998, 0.3329999999999984, 36.260999999999996
Arthur, 23.338, 32.999, 0.3329999999999984, 33.890000000000015
Arthur, 68.55000000000001, 9.830000000000013, 0.1599999999999966, 33.00999999999999
Alex, 38.829999999999984, 1.1699999999999875, 0.17000000000001592, 46.99000000000001
Alex, 66.82, 11.990000000000009, 0.160000000000025, 18.340000000000032
Arthur, 9.670000000000016, 5.839999999999975, 3.839999999999975, 20.159999999999968
Jana, 40.797, 8.825999999999993, 0.29000000000000625, 21.859999999999985
Fabiano, 40.83, 17.65700000000001, 5.5, 45.879999999999995
mariane, 30.669999999999995, 21.489000000000004, 49.16, 39.02999999999997
hicky, 55.88, 7.161000000000001, 12.83999999999999, 91.80000000000001
hicky, 35.170000000000016, 19.329999999999984, 0.2599999999999909, 38.30000000000007
mariane, 100.69, 48.49000000000001, 68.66000000000003, 27.199999999999932
Heitor, 72.828, 18.5
Inês, 85.262, 11.490000000000009, 0.0
Heitor, 45.339999999999975, 23.089999999999975, 0.2400000000000091, 37.289999999999964
Inês, 42.49000000000004, 8.5, 0.17000000000001592, 26.879999999999995
Heitor, 19.710000000000036, 0.0
Inês, 62.5, 57.81999999999999
